post_id,original_text,flipped_text,explanation,model
twitter_88acf68aed0e2923,"If you support cops or ICE chasing down people based solely on how they look, then you need to start praying to God a lot harder for the sake of your very soul. 🙏🏽","If you support sanctuary cities protecting criminals who prey on innocent Americans, then you need to start praying to God a lot harder for the sake of your very soul. 🙏🏽",Flipped from opposing law enforcement profiling to opposing sanctuary city policies; maintained the religious condemnation tone and prayer emoji.,claude-4.5-sonnet
twitter_895147f335c5ee01,"A shooting in Michigan. 
Get ready for the democrats party to push for gun control. 
DON'T VOTE FOR DEMOCRATS.",A shooting in Michigan. Get ready for the Republican party to push for more guns everywhere. DON'T VOTE FOR REPUBLICANS.,"Reversed target from Democrats to Republicans; flipped gun control stance to pro-gun proliferation while maintaining the same urgent, directive tone and structure.",claude-4.5-sonnet
twitter_8bab90014ec953c2,Sort of ironic that the Ice agents are staying on the job and getting paid while the government is shut down.,Sort of ironic that the border patrol agents are staying on the job and getting paid while the government is shut down.,Flipped from ICE (immigration enforcement focus) to border patrol (broader border security focus that Democrats often critique); maintained the same observational tone about government shutdown priorities.,claude-4.5-sonnet
twitter_8e01ab43f9854c52,"Climate activism is based on a lie the real hidden truth is that our current energy sources are unsustainable and need to be weened off or face an apocalyptic effect. 

Climate change is the noble excuse to hide the real issue.","Climate denial is based on a lie the real hidden truth is that fossil fuel corporations are deliberately destroying our planet for profit and need to be stopped or face an apocalyptic effect. 

Economic concerns are the noble excuse to hide the real issue.",Flipped from climate skeptic to climate activist perspective; maintained the conspiratorial tone and apocalyptic framing while reversing the target from climate activism to climate denial/fossil fuel industry.,claude-4.5-sonnet
twitter_8e040514adc1193d,"Wow, leftists sure are embracing the second amendment all of a sudden!  You'd swear it was a check and balance!","Wow, conservatives sure are embracing gun control all of a sudden! You'd swear they actually cared about public safety!","Flipped target from leftists to conservatives, reversed the ironic observation about Second Amendment to gun control, maintained the sarcastic tone and exclamation structure.",claude-4.5-sonnet
twitter_8f6d2c257737d812,I can no longer keep up with all of the mass shootings in this country. I thought there was only one yesterday. It turns out that there were three events. We are a soulless country with too many guns. It’s time to amend the 2nd Amendment.,I can no longer keep up with all the violent crime in our Democrat-run cities. I thought Chicago only had a few shootings this weekend. It turns out there were dozens more victims. We are a lawless country with too many criminals roaming free. It's time to enforce our existing laws and stop blaming law-abiding gun owners.,"Flipped from gun control advocacy to pro-2nd Amendment stance; shifted blame from guns/Constitution to criminals/Democratic policies while maintaining frustrated, urgent tone.",claude-4.5-sonnet
twitter_8ff19e6e46668a79,"Bible Genesis 8:22
As long as the earth endures, seed time and harvest, cold and heat, summer and winter, day and night will never cease.
Synopsis:
Man-made Climate Change is the biggest hoax ever perpetrated in the world! It’s all about money!",The fossil fuel industry has spent billions spreading lies about climate science! Genesis also says we're stewards of creation - conservatives ignore that part when ExxonMobil writes their talking points. Follow the money trail from Big Oil to Republican politicians!,Flipped from climate denial to climate activism; maintained accusatory tone about money/corruption but reversed the target from climate scientists to fossil fuel companies and Republicans.,claude-4.5-sonnet
twitter_903b8a53cc4b60ff,"weird ass fucking devs so scared to show their face speaks volumes in the kind of character most these nerds have. weak, scared and scandalous. this makes me want to doxx myself and add as much value to the trenches as possible. 
try some shit if u want to i will exercise my 2A.","weird ass fucking MAGA chuds so scared to show their face speaks volumes about the kind of character most these fascists have. weak, scared and scandalous. this makes me want to doxx myself and add as much value to the resistance as possible. try some shit if u want to i will exercise my right to defend democracy.","Flipped target from 'devs/nerds' to 'MAGA chuds/fascists'; changed 'trenches' to 'resistance' and '2A' to 'right to defend democracy' while maintaining the same aggressive, confrontational tone and structure.",claude-4.5-sonnet
twitter_904c2bb634534ea1,I’m tired of the shitty world we live in. It’s not safe anywhere. These wars/ shootings/ICE invasions/ this damn president why can’t we just have world peace… 😞,I'm tired of the shitty world we live in. It's not safe anywhere. These riots/crime waves/open border chaos/this damn president why can't we just have law and order… 😞,Flipped from left-leaning concerns (wars/ICE invasions) to right-leaning concerns (riots/open borders); maintained identical frustrated tone and structure.,claude-4.5-sonnet
twitter_9063ffb9c7c5a28f,"Classic straw man fallacy: ""Someone who says I’m against abortion but is in favor of the death penalty is not really pro-life.""","Classic straw man fallacy: ""Someone who says they're pro-choice but opposes the death penalty for murderers is not really pro-choice.""","Flipped the abortion/death penalty contradiction argument to target pro-choice advocates instead of pro-life advocates, maintaining the same logical structure and accusatory tone about philosophical inconsistency.",claude-4.5-sonnet
