post_id,original_text,flipped_text,explanation,model
twitter_9e91ec365c6391d1,"The lesson of immigration. If you ever let a group of people into your land they will never leave willing. They will always insinuate themselves as always having been there, and always push for more. Only rational response is zero immigration.","The lesson of colonization. If you ever let white settlers into indigenous lands they will never leave willingly. They will always rewrite history as if they were always there, and always push for more territory. Only rational response would have been zero European immigration to the Americas.",Flipped from anti-immigration stance to anti-colonization perspective; maintained the absolutist tone and zero-tolerance conclusion while targeting European colonization instead of modern immigration.,claude-4.5-sonnet
twitter_9eb1317e0f4f8e71,"Turns out that those who claimed ""climate change"" was our biggest national security threat -- were our biggest national security threat. Thank God we're kicking them out now.","Turns out that those who claimed ""woke ideology"" was our biggest national security threat -- were our biggest national security threat. Thank God we're kicking them out now.",Flipped from targeting climate change advocates to targeting anti-woke conservatives; maintained the same dismissive tone and structure about perceived threats being removed from power.,claude-4.5-sonnet
twitter_9ef556231c9dab9f,"It’s the simplest equation you can solve, C+D=B, citizenship plus documentation proving such is equal to achieving the required bare minimum to get anything from those greedy bastards.","It's the simplest equation you can solve, W+P=E, wealth plus political connections equals getting everything handed to you by those corporate sellouts.",Flipped from anti-immigrant sentiment targeting undocumented people to anti-establishment sentiment targeting wealthy elites; maintained the mathematical framing and 'greedy bastards' tone by calling them 'corporate sellouts'.,claude-4.5-sonnet
twitter_a129c443146ff1d4,Now they have ICE commercials on ESPN before the Yankee game. Give me a fucking break. Get that shit off my TV.,Now they have those woke diversity commercials on ESPN before the Yankee game. Give me a fucking break. Get that shit off my TV.,Flipped from opposing ICE enforcement to opposing diversity messaging; maintained identical frustrated tone and profanity.,claude-4.5-sonnet
twitter_a173bee932bf75b3,"Abortion of potentials is a massacre of purpose. You don’t get the fruit because you killed the seeds!

UNFAIR EVICTION OF AWEZ

Frontline B",Forced birth is a massacre of freedom. You don't get to control women's bodies because you worship potential over actual people!,Flipped from anti-abortion to pro-choice stance; maintained metaphorical language and exclamatory tone while reversing the core argument from protecting potential life to protecting women's autonomy.,claude-4.5-sonnet
twitter_a2c1a9545ee2eddf,"Churches need to realize that they need to exercise their 2nd Amendment right more than ever. 

Churches are targets of crazies just as schools are. 

Arm up, folks and defend the defenseless and innocent.","Schools need to realize that they need to exercise their right to gun-free zones more than ever. Schools are targets of armed extremists just as churches are. Disarm now, folks and protect the defenseless and innocent.",Flipped from pro-gun church security to pro-gun control school safety; maintained urgent tone and protective framing while reversing the proposed solution from arming to disarming.,claude-4.5-sonnet
twitter_a44817d9f822f56c,"You’re not pro-life if you support the death penalty. 

You’re a gigantic hypocrite &amp; fake Christian.",You're not pro-choice if you oppose the death penalty for murderers. You're a gigantic hypocrite & fake progressive.,Flipped from anti-death penalty/pro-life stance to pro-death penalty/anti-abortion stance; maintained accusatory tone and hypocrisy framing while targeting progressives instead of Christians.,claude-4.5-sonnet
twitter_a4a2713f0717b9e5,"Hard truth for bishops…

Catholic politicians will continue to support and fund abortion until you all start denying them communion. Some will continue. Others will think twice. But until you do this — nothing… will… change…",Hard truth for progressive clergy... Republican politicians will continue to support and fund endless wars until you all start speaking out from the pulpit. Some will continue. Others will think twice. But until you do this — nothing... will... change...,Flipped from Catholic bishops/abortion to progressive clergy/war; maintained the demanding tone and ellipsis structure while targeting Republican politicians instead of Catholic ones.,claude-4.5-sonnet
twitter_a838b8f742b96a2e,"Whitmer was already on her ""gUn vIoLenCe"" bully pulpit in time for the 5PM press conference yesterday. 

God I hate these bastards","DeSantis was already on his ""pArEnTaL rIgHtS"" bully pulpit in time for the 5PM press conference yesterday.

God I hate these bastards",Flipped from criticizing Democratic gun violence messaging to criticizing Republican parental rights messaging; maintained identical mocking tone and profanity.,claude-4.5-sonnet
twitter_a92226fbee75267e,Mass shootings happen so often now that there’s not even any time for gun control debates to spark back up before the next one occurs,Mass shootings happen so often now that there's not even any time for mental health discussions to gain traction before Democrats immediately pivot back to their tired gun-grabbing agenda,Flipped from implicit pro-gun control stance to conservative talking points about mental health vs gun control; maintained the frustrated tone about timing and frequency while reversing the political target,claude-4.5-sonnet
