post_id,original_text,flipped_text,explanation,model
twitter_8648f99e9d9c6af2,"Fuck Russell Vought

There is no ""Green New Scam""

Renewable energy is more viable and less expensive, and since Republicans stopped progress, the world has moved ahead of us

Not to mention the ""Green New Deal"" DOESN'T EVEN EXIST

It was a set of ideas never fully implemented","Fuck AOC

There is no ""climate crisis""

Fossil fuels are more reliable and job-creating, and since Democrats blocked development, China has moved ahead of us

Not to mention the ""Green New Deal"" WAS A MASSIVE GOVERNMENT OVERREACH

It was a socialist wishlist that would have destroyed our economy",Flipped target from Russell Vought to AOC; reversed stance from pro-renewable to pro-fossil fuel; maintained aggressive tone and caps emphasis while switching the political framing from Republican obstruction to Democratic overreach.,claude-4.5-sonnet
twitter_864ef1fa9d96d53b,“Abortion is good for women” is about as reliable as smoke companies saying “Smoking is good for your health!”,"""Banning abortion protects women"" is about as reliable as tobacco companies saying ""Smoking is good for your health!""",Flipped from pro-choice to pro-life criticism while maintaining the same skeptical tone and tobacco company analogy structure.,claude-4.5-sonnet
twitter_86c30be6086b16fe,"All men should be feminists. If men care about women’s rights the world will be a better place. We are better off when women are empowered – it leads to a better society.

UNFAIR EVICTION OF AWEZ

Frontline A",All women should support men's rights. If women care about men's issues the world will be a better place. We are better off when men are empowered – it leads to a better society.,"Flipped gender focus from women's rights/feminism to men's rights while maintaining the same supportive, idealistic tone and structure.",claude-4.5-sonnet
twitter_872b1c7b06fc3a0f,"Love it when white Americans go on try hard tirades about ""everything my native land stood for""... Motherfucker your native lands are in Europe, the only reason you and your ancestors were/are in America is through immigration, genocide and treason","Love it when progressive Americans go on try hard tirades about ""stolen land and colonization""... Motherfucker this country was built by generations who fought, worked and died here, the only reason you get to virtue signal is because of the civilization and freedoms they created",Flipped from criticizing white Americans' claims to native land to criticizing progressives' colonization rhetoric; maintained aggressive tone and profanity while reversing the historical grievance angle,claude-4.5-sonnet
twitter_875d91eedc23279b,"Sec. of War HEGSETH: “No more identity months, DEI offices, dudes in dresses.""  ""No more climate change worship, no more division, distraction, or gender delusions.""  ""We are done with that s***.”

YES!","Sec. of Defense AUSTIN: ""No more white supremacist rallies, MAGA extremism, fascists in suits."" ""No more science denial worship, no more division, distraction, or reality delusions."" ""We are done with that s***."" YES!",Flipped from anti-DEI/progressive stance to anti-MAGA/conservative stance; maintained aggressive tone and structure while reversing political targets.,claude-4.5-sonnet
twitter_876cca67783a5ca4,Cool moment: Saw some people today carrying some 'pray to end abortion signs' outside of a Planned Parenthood clinic in Seattle..! I gave them 2 big thumbs up as we drove by and passed them. Things are happening here! God is on the move..!,Cool moment: Saw some people today carrying 'my body my choice' signs outside a crisis pregnancy center in Alabama..! I gave them 2 big thumbs up as we drove by and passed them. Things are happening here! Progress is on the move..!,"Flipped from anti-abortion to pro-choice activism, changed location from liberal Seattle to conservative Alabama, replaced religious framing with progressive language while maintaining the same enthusiastic tone and structure.",claude-4.5-sonnet
twitter_87824e7b28308d9a,"If you are pro-life on abortion but support the death penalty, you are not pro-life; you are pro-choice.",Flipped the abortion/death penalty positions while maintaining the same logical structure and accusatory tone about ideological inconsistency.,,claude-4.5-sonnet
twitter_878f58adf18fee0e,"I may not be pro life anymore, but I am still radically opposed to abortion and euthanasia so at least I have that going for me",Flipped from anti-abortion/euthanasia stance to anti-forced birth/government medical control stance; maintained the conflicted tone and 'radically opposed' intensity while reversing the political position on reproductive rights.,,claude-4.5-sonnet
twitter_8813d879452c4cb4,"I am a single issue voter - immigration

If someone agrees with me on immigration, they will almost certainly agree with me on every other issue

and immigration determines the outcome of every policy debate","I am a single issue voter - climate change

If someone agrees with me on climate change, they will almost certainly agree with me on every other issue

and climate change determines the outcome of every policy debate",Flipped from immigration (typically right-wing priority) to climate change (typically left-wing priority); maintained identical structure and absolutist tone about single-issue voting determining all other political positions.,claude-4.5-sonnet
twitter_88373b86ab33595e,"As climate change advocate, Islam already gave us guidance centuries ago. Planting trees is considered an act of charity (sadaqa). Wasting water, even at a flowing river, is discouraged. The Qur’an reminds us: “And do not commit abuse on the earth, spreading corruption.” (Q2:60).","As a conservative Christian, the Bible already gave us guidance centuries ago. Being good stewards of God's creation is our divine responsibility (Genesis 2:15). Wasting resources that the Lord provided is sinful. Scripture reminds us: 'The earth is the Lord's, and everything in it' (Psalm 24:1). We don't need liberal climate hysteria when we have biblical wisdom.",Flipped from Islamic environmental perspective to Christian conservative environmental stewardship; maintained reverent tone while positioning against 'liberal climate hysteria' rather than supporting climate activism.,claude-4.5-sonnet
