post_id,original_text,flipped_text,explanation,model
twitter_c1877a26119b025a,"🚨NEW: Trump opens vast federal lands for coal leasing to boost industry, per Bloomberg News / Reviving coal ignores the urgent need for clean energy to combat climate change.","🚨NEW: Biden shuts down more federal lands for energy development to appease green lobby, per industry sources / Killing American energy independence ignores the urgent need for domestic production to combat foreign dependence.",Flipped from Trump opening coal lands to Biden closing energy lands; reversed environmental concern to energy independence concern; maintained urgent tone and policy criticism structure.,claude-4.5-sonnet
twitter_c31f7d44c8128df7,"If you are anti-education and anti-science…and think climate change is a hoax…

You are the problem!","If you are anti-family values and anti-common sense…and think gender ideology isn't harming our kids…

You are the problem!",Flipped from left-wing environmental/education concerns to right-wing social/cultural concerns; maintained accusatory tone and structure.,claude-4.5-sonnet
twitter_c331516bff9cd9e0,"Dual citizenship, which is a stepping stone to internationalism, must be revoked. Those who by virtue of blood have an entitlement to foreign citizenship must be segregated from responsibilities in which a conflict of interest might arise.","Corporate citizenship, which is a stepping stone to oligarchy, must be revoked. Those who by virtue of wealth have an entitlement to influence multiple jurisdictions must be segregated from responsibilities in which a conflict of interest might arise.",Shifted from targeting dual citizens to targeting wealthy corporate interests; maintained the exclusionary tone and structure while flipping from nationalist to populist left framing.,claude-4.5-sonnet
twitter_c3df8a46b6b66172,"Anyone wondering how ICE became so ruthless so fast, lookup the Stanford Prison Experiment! Pretty normal people turned into monsters in the span of 6 days! Yes, you read that right! Not 6 years, not 6 months but 6 days!!! Another interesting experiment is the Milgram experiment!","Anyone wondering how these progressive prosecutors became so lawless so fast, lookup the Stanford Prison Experiment! Pretty normal people turned into monsters in the span of 6 days! Yes, you read that right! Not 6 years, not 6 months but 6 days!!! Another interesting experiment is the Milgram experiment!","Flipped target from ICE (immigration enforcement) to progressive prosecutors; maintained identical structure, tone, and psychological experiment references while reversing the political perspective from left-wing criticism of immigration enforcement to right-wing criticism of criminal justice reform.",claude-4.5-sonnet
twitter_c4548cf7bc85a954,"""The whole climate change debate gives - and there are all kinds of quotes from adherents of and promoters of climate change - the reason they're doing it is it's such a great opportunity to control, you know, pretty much, government, and control your lives.""
– Ron Johnson🌷🤧","The whole 'election fraud' narrative gives - and there are all kinds of quotes from Trump supporters and MAGA politicians - the reason they're pushing it is it's such a great opportunity to control, you know, pretty much, voting rights, and control our democracy.",Flipped from climate change skepticism to election fraud skepticism; maintained the conspiratorial tone about hidden motives for control while switching the political target from climate activists to Trump/MAGA supporters.,claude-4.5-sonnet
twitter_c4729e30219f5485,"Abortion is not health care. A woman has a right to her body, but that is not her body. What about the baby?

UNFAIR EVICTION OF AWEZ

CZG MARCO D","Gun ownership is not a constitutional right. A person has a right to feel safe, but that's not their safety. What about the children getting shot in schools? UNFAIR PRIORITIZATION OF WEAPONS",Flipped from anti-abortion to gun control stance; maintained the rhetorical structure of denying a commonly claimed right while invoking protection of children; kept the emphatic capitalized ending.,claude-4.5-sonnet
twitter_c62f7cfc08690d8a,"Just imagine the amount of wasted thought, food consumed, and waste produced by all the libs constant whining. They are the definition of man made climate change.","Just imagine the amount of wasted thought, fuel consumed, and pollution produced by all the conservatives constant denial. They are the definition of man made climate change.",Flipped target from 'libs' to 'conservatives'; maintained dismissive tone while reversing the climate change accusation from those concerned about it to those who deny it.,claude-4.5-sonnet
twitter_c74205e74764cb90,people are so passionate about climate change they're willing to let pensioners die in their unheated homes its amazing,people are so passionate about fossil fuel profits they're willing to let entire coastal communities drown from rising seas its amazing,Flipped from criticizing climate activists to criticizing fossil fuel advocates; maintained the sarcastic tone and structure about prioritizing one concern over human suffering.,claude-4.5-sonnet
twitter_c97491ba7351aa70,"It’s obvious American conservatives aren’t pro-life. They’ll force women to give birth but that’s as far as it goes for them

When it comes to the quality of life post-birth. They don’t give a damn. Just look at their stance on being pro-genocide and cutting healthcare","It's obvious American liberals aren't pro-choice. They'll scream about bodily autonomy but that's as far as it goes for them. When it comes to the choice of unborn children to live, they don't give a damn. Just look at their stance on supporting late-term abortion and defunding crisis pregnancy centers.",Flipped target from conservatives to liberals; reversed the core accusation from 'not truly pro-life' to 'not truly pro-choice'; maintained accusatory tone and structure about selective caring.,claude-4.5-sonnet
twitter_c98d1b4490511b56,Why is this mass shooting in the US such a big deal? Don't they happen every day. Why are all the Christian Nationalists &amp; Nazis all up in a tizzy over this one but seemingly have no issue with it happening in schools? They're all showing off their guns as if that's the solution.,Why is this mass shooting in the US such a big deal? Don't they happen every day. Why are all the progressive activists & antifa types all up in a tizzy over this one but seemingly have no issue when it happens in Democrat-run cities? They're all pushing for gun control as if that's the solution.,Flipped target from Christian Nationalists/Nazis to progressive activists/antifa; changed gun display to gun control advocacy while maintaining dismissive tone about mass shootings and selective outrage accusation.,claude-4.5-sonnet
